run,camera,previous_frame,frame,tracker_gap_ms,pts_gap_ms,previous_emit_ms,other_camera_tracker_frames,other_cameras
controlled,e0606b55,1851,1852,277.165681,39.9961,0.811615,31,"{""c7e22c1f"": 8, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 4, ""06e9e5b9"": 7}"
controlled,06e9e5b9,1854,1855,276.117786,40.000431,0.798137,25,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 7, ""e0606b55"": 2, ""d1f37ed1"": 1}"
controlled,d1f37ed1,1859,1860,274.953226,40.00684,1.210892,25,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 7, ""e0606b55"": 2, ""06e9e5b9"": 1}"
controlled,e0606b55,1899,1900,260.460929,40.004134,1.039951,30,"{""c7e22c1f"": 8, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 3, ""06e9e5b9"": 7}"
controlled,d1f37ed1,1907,1908,268.187761,40.012284,0.615763,24,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 0}"
controlled,06e9e5b9,1902,1903,274.386823,40.00397,2.289815,27,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 2}"
controlled,e0606b55,1946,1947,285.391565,40.009006,1.414176,32,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 6}"
controlled,06e9e5b9,1950,1951,283.232838,40.003652,1.66907,27,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""d1f37ed1"": 1}"
controlled,d1f37ed1,1955,1956,283.278046,39.992848,1.723395,26,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""06e9e5b9"": 1}"
controlled,e0606b55,1991,1992,274.398333,39.998982,1.175346,33,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,06e9e5b9,1998,1999,270.841955,40.001222,1.224086,23,"{""c7e22c1f"": 6, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 0}"
controlled,d1f37ed1,2003,2004,287.580805,40.005405,0.970052,27,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 2}"
controlled,e0606b55,2036,2037,295.42549,40.001517,2.252388,33,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,d1f37ed1,2051,2052,271.757802,39.992864,2.221788,23,"{""c7e22c1f"": 6, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 0}"
controlled,06e9e5b9,2046,2047,299.395574,40.000398,0.828124,28,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""d1f37ed1"": 2}"
controlled,b1269e28,1756,1757,199.547762,50.0,1.00316,22,"{""c7e22c1f"": 5, ""1ac2ffac"": 2, ""e0606b55"": 1, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
