camera,epoch_ms,interval_ms,framesDecoded,framesDropped,freezeCount,totalFreezesDuration,packetsLost,jitterBufferDelay,jitterBufferEmittedCount,decoded_fps,jitter_buffer_ms
b1269e28,1790072115857,1017.905029296875,20,0,0,0,0,1.5694349999999986,20,19.648198431454002,78.47174999999993
1ac2ffac,1790072115857,1017.87890625,25,0,0,0,0,0.5493000000000023,25,24.560878358412292,21.972000000000094
d1f37ed1,1790072115857,1017.85595703125,26,0,0,0,0,0.5546310000000005,26,25.54388940831414,21.33196153846156
06e9e5b9,1790072115857,1017.84912109375,26,0,0,0,0,0.5489689999999996,26,25.5440609626515,21.114192307692292
e0606b55,1790072115857,1017.824951171875,26,0,0,0,0,0.5717239999999997,26,25.54466754825065,21.989384615384605
c7e22c1f,1790072115857,1017.822021484375,26,0,0,0,0,0.5143750000000011,26,25.544741075735445,19.78365384615389
b5e8f409,1790072115857,1017.7119140625,20,0,1,0.2240000000000001,0,0.8086979999999997,20,19.65192676202841,40.434899999999985
b1269e28,1790072116870,1012.298095703125,20,0,0,0,0,1.6575250000000068,20,19.757026200971307,82.87625000000034
1ac2ffac,1790072116870,1012.3359375,25,0,0,0,0,0.6175549999999994,25,24.695359587587493,24.702199999999976
d1f37ed1,1790072116870,1012.430908203125,25,0,0,0,0,0.5467939999999984,25,24.693043048606953,21.87175999999994
06e9e5b9,1790072116870,1012.432861328125,25,0,0,0,0,0.5356880000000004,25,24.692995412263304,21.427520000000012
e0606b55,1790072116870,1012.416015625,25,0,0,0,0,0.5751880000000007,25,24.693406281771058,23.007520000000028
c7e22c1f,1790072116870,1012.4140625,25,0,0,0,0,0.5096379999999989,25,24.693453919699973,20.385519999999957
b5e8f409,1790072116870,1012.416015625,21,0,0,0.0,0,0.8502650000000003,21,20.74246127668769,40.488809523809536
b1269e28,1790072117883,1013.153076171875,20,0,0,0,0,1.5958149999999875,20,19.74035362510919,79.79074999999938
1ac2ffac,1790072117883,1013.087158203125,25,0,0,0,0,0.5728669999999987,26,24.677047574407684,22.033346153846104
d1f37ed1,1790072117883,1012.98291015625,25,0,0,0,0,0.5159289999999999,25,24.679587137500487,20.637159999999994
06e9e5b9,1790072117883,1012.949951171875,25,0,0,0,0,0.5092110000000005,25,24.68039015262074,20.36844000000002
e0606b55,1790072117883,1012.93115234375,25,0,0,0,0,0.5656099999999995,25,24.680848192055564,22.624399999999977
c7e22c1f,1790072117883,1012.89697265625,26,0,0,0,0,0.4914810000000003,26,25.668948275970116,18.903115384615397
b5e8f409,1790072117883,1012.8720703125,20,0,0,0.0,0,0.7465410000000006,20,19.745830284203045,37.32705000000003
b1269e28,1790072118894,1010.8369140625,20,0,0,0,0,1.7049360000000036,20,19.785585312294405,85.24680000000018
1ac2ffac,1790072118894,1010.9169921875,26,0,0,0,0,0.5744930000000004,25,25.719223438651674,22.979720000000015
d1f37ed1,1790072118894,1011.049072265625,25,0,0,0,0,0.574580000000001,26,24.72679188951567,22.099230769230807
06e9e5b9,1790072118894,1011.13916015625,26,0,0,0,0,0.590088999999999,26,25.71357239885977,22.69573076923073
e0606b55,1790072118894,1011.183837890625,26,0,0,0,0,0.6035430000000019,26,25.712436280861816,23.21319230769238
c7e22c1f,1790072118894,1011.22509765625,25,0,0,0,0,0.5391329999999996,25,24.72248766169207,21.565319999999982
b5e8f409,1790072118894,1011.2890625,20,0,0,0.0,0,0.8120130000000003,20,19.77673915562594,40.600650000000016
b1269e28,1790072119913,1015.738037109375,21,0,0,0,0,1.745390999999998,21,20.674622031249886,83.11385714285704
1ac2ffac,1790072119913,1015.6728515625,25,0,0,0,0,0.5664270000000009,25,24.614224906711126,22.657080000000036
d1f37ed1,1790072119913,1015.575927734375,26,0,0,0,0,0.5235070000000022,25,25.601236982844604,20.940280000000083
06e9e5b9,1790072119913,1018.912841796875,25,0,0,0,0,0.5125789999999988,25,24.53595535797935,20.50315999999995
e0606b55,1790072119913,1019.006103515625,25,0,0,0,0,0.5680869999999985,25,24.533709772442656,22.723479999999935
c7e22c1f,1790072119913,1019.04296875,25,0,0,0,0,0.4883230000000012,25,24.53282223287015,19.532920000000047
b5e8f409,1790072119913,1018.995849609375,20,0,0,0.0,0,0.7985359999999986,21,19.62716531933556,38.02552380952374
b1269e28,1790072120928,1018.5048828125,20,0,0,0,0,1.6462450000000075,20,19.63662652727986,82.31225000000038
1ac2ffac,1790072120928,1018.4580078125,26,0,0,0,0,0.6287219999999998,26,25.528789405705815,24.181615384615377
d1f37ed1,1790072120928,1018.418212890625,26,0,0,0,0,0.5615029999999983,26,25.529786948922446,21.596269230769167
06e9e5b9,1790072120928,1015.009033203125,26,0,0,0,0,0.581113000000002,26,25.615535576023632,22.350500000000075
e0606b55,1790072120928,1014.885009765625,26,0,0,0,0,0.5960929999999998,26,25.618665907780404,22.926653846153837
c7e22c1f,1790072120928,1014.8310546875,26,0,0,0,0,0.5041539999999998,26,25.62002796416814,19.39053846153845
b5e8f409,1790072120928,1014.828125,21,0,0,0.0,0,0.7349589999999964,20,20.693159248025374,36.74794999999982
b1269e28,1790072121942,1013.508056640625,20,0,0,0,0,1.6994749999999925,21,19.733439580433156,80.9273809523806
1ac2ffac,1790072121942,1013.530029296875,25,0,0,0,0,0.5660539999999976,25,24.66626471575141,22.642159999999905
d1f37ed1,1790072121942,1013.532958984375,25,0,0,0,0,0.5435170000000014,25,24.66619341619793,21.740680000000058
06e9e5b9,1790072121942,1013.576171875,25,0,0,0,0,0.5154490000000003,25,24.665141795660862,20.61796000000001
e0606b55,1790072121942,1013.675048828125,25,0,0,0,0,0.5266009999999994,25,24.662735882570693,21.064039999999977
c7e22c1f,1790072121942,1013.743896484375,25,0,0,0,0,0.47725699999999804,25,24.661060931364464,19.09027999999992
b5e8f409,1790072121942,1013.77783203125,20,0,0,0.0,0,0.7330889999999997,20,19.728188334841686,36.65444999999998
b1269e28,1790072122956,1014.3330078125,21,0,0,0,0,1.688085000000001,20,20.703260012496667,84.40425000000005
1ac2ffac,1790072122956,1014.408935546875,25,0,0,0,0,0.5585149999999999,25,24.644893320584092,22.340599999999995
d1f37ed1,1790072122956,1014.43505859375,25,0,0,0,0,0.5538469999999975,25,24.644258681926853,22.153879999999898
06e9e5b9,1790072122956,1014.423828125,25,0,0,0,0,0.556362,25,24.644531513231996,22.254480000000004
e0606b55,1790072122956,1014.61279296875,25,0,0,0,0,0.5398350000000001,25,24.639941634138253,21.593400000000003
c7e22c1f,1790072122956,1014.75390625,25,0,0,0,0,0.5282410000000013,25,24.63651516492992,21.129640000000055
b5e8f409,1790072122956,1014.81201171875,20,0,0,0.0,0,0.7521330000000006,21,19.708083634255306,35.81585714285717
