camera,frame,epoch_ms,receipt_ns,targets,masks,inference_ms,queue_wait_ms,ipc_out_ms,parent_queue_ms,emit_client_ms,publish_client_ms,packet_gap_ms
c7e22c1f,44,1790072085319,637722332078124,3,1,19.6,11.9,0.400203,5.431214,7.493797,1.66238,33.015229
d1f37ed1,32,1790072085319,637722332265384,1,0,9.6,9.3,0.160379,2.88543,4.451669,1.40586,33.492896
b1269e28,29,1790072085347,637722360917355,7,3,86.2,20.9,0.563961,2.672697,7.736844,4.500186,98.39525
1ac2ffac,38,1790072085352,637722365986061,2,0,31.8,21.4,1.187717,6.549974,9.185908,1.448217,46.683823
06e9e5b9,33,1790072085352,637722366060531,4,2,52.5,20.5,0.372875,2.580607,4.358133,1.404651,39.155979
c7e22c1f,45,1790072085359,637722372307221,3,1,61.8,12.8,0.376425,4.931884,7.231938,1.923629,40.229097
e0606b55,35,1790072085359,637722372404994,2,1,42.5,57.4,0.323694,3.758141,5.765964,1.684129,45.167026
d1f37ed1,33,1790072085359,637722372454599,1,0,10.5,34.2,0.164722,1.87923,3.551181,1.507229,40.189215
b1269e28,30,1790072085366,637722379193821,7,3,86.2,20.9,0.498339,3.393118,6.99011,3.098653,18.276466
1ac2ffac,39,1790072085385,637722398834895,1,0,8.8,22.4,0.141021,0.529757,1.276471,0.605693,32.848834
c7e22c1f,46,1790072085391,637722404555670,3,1,61.8,12.8,0.362079,0.586625,2.119418,1.170714,32.248449
06e9e5b9,34,1790072085397,637722410263075,4,2,52.5,20.5,0.286951,0.862674,2.698186,1.548561,44.202544
e0606b55,36,1790072085403,637722416984116,2,1,41.9,43.5,0.211386,3.957112,6.572425,2.403927,44.579122
d1f37ed1,34,1790072085404,637722417119855,1,0,10.5,34.2,0.085516,2.031494,4.46326,2.34625,44.665256
b1269e28,31,1790072085404,637722417847927,7,3,86.2,20.9,0.489289,0.260379,3.785263,3.035595,38.654106
1ac2ffac,40,1790072085429,637722442464157,1,0,8.8,22.4,0.136754,2.263736,3.278664,0.878174,43.629262
