camera,frame,epoch_ms,receipt_ns,targets,masks,inference_ms,queue_wait_ms,ipc_out_ms,parent_queue_ms,emit_client_ms,publish_client_ms,packet_gap_ms
b1269e28,26,1790073015138,638652151119436,8,4,93.1,40.4,0.640816,4.555527,8.52351,3.327167,77.722943
1ac2ffac,33,1790073015153,638652166868610,1,0,36.2,19.7,0.222895,4.911339,7.098553,1.964319,45.377872
c7e22c1f,54,1790073015154,638652167136087,3,1,57.1,10.6,0.333137,2.712588,5.141113,2.095388,34.903325
e0606b55,55,1790073015159,638652172228665,4,2,67.6,31.3,0.316,0.804171,2.856013,1.735842,39.008744
d1f37ed1,28,1790073015159,638652172331419,1,0,9.6,4.7,0.10842,0.468703,2.044938,1.467815,39.435062
06e9e5b9,28,1790073015165,638652178423221,6,3,73.9,16.3,0.435645,1.126226,3.973228,2.411357,39.972728
b1269e28,27,1790073015179,638652192826134,8,4,93.1,40.4,0.622695,2.169403,7.773686,4.981588,41.706698
1ac2ffac,34,1790073015183,638652196761297,1,0,20.5,31.8,0.178898,1.19849,1.980366,0.602978,29.892687
c7e22c1f,55,1790073015194,638652207648354,3,1,57.1,10.6,0.316716,3.349696,4.821189,1.154777,40.512267
e0606b55,56,1790073015210,638652223952634,4,1,63.2,28.1,0.759806,1.077615,3.706664,1.869243,51.723969
06e9e5b9,29,1790073015219,638652232762744,6,3,73.9,16.3,0.756477,4.923112,10.824086,5.144497,54.339523
d1f37ed1,29,1790073015219,638652232911701,2,0,33.1,42.7,0.232946,5.723579,9.51704,3.560515,60.580282
b1269e28,28,1790073015220,638652233811877,8,4,93.1,40.4,0.783246,4.18774,9.35746,4.386474,40.985743
1ac2ffac,35,1790073015224,638652237627247,1,0,20.5,31.8,0.108091,4.06182,4.853999,0.684088,40.86595
d1f37ed1,30,1790073015229,638652242921529,2,0,33.1,42.7,0.105173,0.484751,1.357814,0.76789,10.009828
c7e22c1f,56,1790073015235,638652248693001,3,1,57.1,10.6,0.191529,2.712686,4.217386,1.313171,41.044647
e0606b55,57,1790073015243,638652256727824,4,1,63.2,28.1,0.301818,2.192707,6.39326,3.898735,32.77519
06e9e5b9,30,1790073015243,638652256972900,6,3,73.9,16.3,0.363246,1.2938,5.480229,3.823183,24.210156
b1269e28,29,1790073015256,638652269861708,8,4,93.1,40.4,0.773675,2.27621,7.800369,4.750484,36.049831
1ac2ffac,36,1790073015266,638652279371728,1,0,20.5,31.8,0.138287,3.22652,4.069716,0.704909,41.744481
d1f37ed1,31,1790073015281,638652294705613,2,0,33.1,42.7,0.192755,2.489701,3.341972,0.659516,51.784084
06e9e5b9,31,1790073015295,638652308517698,6,3,80.9,30.1,0.418295,4.739591,9.361251,4.203365,51.544798
c7e22c1f,57,1790073015295,638652308704017,3,1,57.1,10.6,0.235208,4.567319,7.414223,2.611696,60.011016
